,CPU Name,Year Released,Single Core Performance,Multi Core Performance,Clock Speed,Number of Cores,Number of Threads,Rolling Single Core Score,Rolling Multi Core Score,Rolling Average Clock Speed,Rolling Average Number of Cores,Rolling Average Number of Threads,Rolling Year,Rolling STD Single Core Score,Rolling STD Multi Core Score,Rolling STD Clock Speed,Rolling STD Number of Cores,Rolling STD Number of Threads,Rolling STD Year
80,Intel-Core-i5-9600K,2005.0,195.0,656.0,1600.0,4.0,4.0,194.4,403.6,1940.0,2.4,2.4,2004.2,0.5477225575051748,142.1594175564884,527.2570530585627,0.8944271909999154,0.8944271909999154,0.4472135954999452
81,Intel-Core-i3-1115G4E,2005.0,195.0,365.0,2000.0,2.0,2.0,194.6,404.8,1920.0,2.4,2.4,2004.4,0.5477225575051748,141.71344325786464,521.5361924162119,0.8944271909999154,0.8944271909999154,0.5477225575051375
82,Intel-Core-i7-1068NG7,2005.0,196.0,341.0,1600.0,2.0,2.0,195.0,410.6,1920.0,2.4,2.4,2004.6,0.707106781186555,137.4965454111485,521.5361924162119,0.8944271909999154,0.8944271909999154,0.5477225575051375
83,Intel-Core-i5-1145G7E,2005.0,198.0,349.0,1400.0,2.0,2.0,195.8,411.2,1640.0,2.4,2.4,2004.8,1.3038404810405309,137.15028253707692,219.08902300206645,0.8944271909999154,0.8944271909999154,0.4472135954999452
84,AMD-Ryzen-9-3900,2005.0,198.0,343.0,2130.0,2.0,2.0,196.4,410.8,1746.0,2.4,2.4,2005.0,1.5165750888103091,137.39432302682678,305.9084830468093,0.8944271909999154,0.8944271909999154,0.0
85,Intel-Core-i3-10320,2005.0,198.0,338.0,1600.0,2.0,2.0,197.0,347.2,1746.0,2.0,2.0,2005.0,1.4142135623730931,10.733126291999307,305.9084830468093,0.0,0.0,0.0
86,AMD-Ryzen-Threadripper-3990X,2005.0,199.0,359.0,3000.0,2.0,2.0,197.8,346.0,1946.0,2.0,2.0,2005.0,1.095445115010328,8.306623862918482,648.5213951752094,0.0,0.0,0.0
87,Intel-Core-i7-7700K,2005.0,199.0,325.0,1400.0,2.0,2.0,198.4,342.8,1906.0,2.0,2.0,2005.0,0.5477225575051505,12.65701386583763,680.5732877508491,0.0,0.0,0.0
88,AMD-Ryzen-5-5600U,2005.0,199.0,679.0,2200.0,4.0,4.0,198.6,408.8,2066.0,2.4,2.4,2005.0,0.5477225575051505,151.53613430466024,623.5222530110693,0.8944271909999154,0.8944271909999154,0.0
89,Intel-Core-i5-8600K,2005.0,200.0,654.0,1830.0,4.0,4.0,199.0,471.0,2006.0,2.8,2.8,2005.0,0.7071067811865362,179.09634278789736,630.2221830434089,1.095445115010332,1.095445115010332,0.0
90,AMD-Ryzen-5-3600,2005.0,201.0,364.0,2160.0,2.0,2.0,199.6,476.2,2118.0,2.8,2.8,2005.0,0.8944271909999083,174.5900913568695,588.4046226874837,1.095445115010332,1.095445115010332,0.0
91,Intel-Core-i7-9700F,2005.0,202.0,648.0,1800.0,4.0,4.0,200.2,534.0,1878.0,3.2,3.2,2005.0,1.3038404810405275,173.92670870225783,324.06789412096964,1.095445115010332,1.095445115010332,0.0
92,AMD-Ryzen-7-PRO-4750G,2005.0,203.0,341.0,1660.0,2.0,2.0,201.0,537.2,1930.0,3.2,3.2,2005.0,1.581138830084189,169.2031323587127,237.48684174075834,1.095445115010332,1.095445115010332,0.0
93,Intel-Core-i5-9600,2005.0,203.0,679.0,2410.0,4.0,4.0,201.8,537.2,1972.0,3.2,3.2,2005.0,1.3038404810405275,169.2031323587127,305.89213785254435,1.095445115010332,1.095445115010332,0.0
94,Intel-Xeon-E-2288G,2005.0,203.0,655.0,1600.0,4.0,4.0,202.4,537.4,1926.0,3.2,3.2,2005.0,0.8944271909999083,169.37620848277382,347.1022903986662,1.095445115010332,1.095445115010332,0.0
95,Intel-Core-i3-7350K,2005.0,204.0,651.0,1800.0,4.0,4.0,203.0,594.8,1854.0,3.6,3.6,2005.0,0.7071067811865362,142.40505609001417,322.9241396984747,0.8944271909999154,0.8944271909999154,0.0
96,Intel-Core-i7-9700,2005.0,204.0,668.0,1440.0,4.0,4.0,203.4,598.8,1782.0,3.6,3.6,2005.0,0.5477225575051505,144.53788430719501,374.0588189041932,0.8944271909999154,0.8944271909999154,0.0
97,Intel-Core-i9-10885H,2005.0,204.0,337.0,1860.0,2.0,2.0,203.6,598.0,1822.0,3.6,3.6,2005.0,0.5477225575051505,146.32156368765365,368.40195439221003,0.8944271909999154,0.8944271909999154,0.0
98,Intel-Core-i9-10920X,2005.0,204.0,341.0,1860.0,2.0,2.0,203.8,530.4,1712.0,3.2,3.2,2005.0,0.4472135954999393,174.84221458217706,185.79558659989746,1.095445115010332,1.095445115010332,0.0
99,Intel-Core-i7-10875H,2005.0,205.0,653.0,1600.0,4.0,4.0,204.2,530.0,1712.0,3.2,3.2,2005.0,0.4472135954999393,174.48782192462616,185.79558659989746,1.095445115010332,1.095445115010332,0.0
100,Intel-Core-i9-10980XE,2005.0,207.0,417.0,2300.0,2.0,2.0,204.8,483.2,1812.0,2.8,2.8,2005.0,1.3038404810405206,165.04605417882624,326.3740185737829,1.095445115010332,1.095445115010332,0.0
101,Intel-Core-i5-7640X,2005.0,208.0,370.0,1600.0,2.0,2.0,205.6,423.6,1844.0,2.4,2.4,2005.0,1.8165902124584887,132.15823848705017,286.1468154636707,0.8944271909999154,0.8944271909999154,0.0
102,Intel-Core-i3-8350K,2005.0,208.0,389.0,2000.0,2.0,2.0,206.4,434.0,1872.0,2.4,2.4,2005.0,1.8165902124584887,125.51892287619438,294.8219801846531,0.8944271909999154,0.8944271909999154,0.0
103,AMD-Ryzen-5-3500X,2005.0,209.0,675.0,2166.0,4.0,4.0,207.4,500.8,1933.2,2.8,2.8,2005.0,1.5165750888103005,150.11728747882452,322.197454986845,1.095445115010332,1.095445115010332,0.0
104,Intel-Core-i5-10500,2005.0,209.0,682.0,2300.0,4.0,4.0,208.2,506.6,2073.2,2.8,2.8,2005.0,0.836660026534057,157.8299718051044,291.8753158456535,1.095445115010332,1.095445115010332,0.0
105,Intel-Core-i7-8700B,2005.0,210.0,477.0,1330.0,2.0,4.0,208.8,518.6,1879.2,2.8,3.2,2005.0,0.836660026534057,151.46715815647977,404.1945076321546,1.095445115010332,1.095445115010332,0.0
106,AMD-Ryzen-5-PRO-4650G,2005.0,210.0,664.0,1440.0,4.0,4.0,209.2,577.4,1847.2,3.2,3.6,2005.0,0.836660026534057,135.5924039170339,436.8400164820067,1.095445115010332,0.8944271909999154,0.0
107,Intel-Core-i3-10300,2005.0,213.0,378.0,2160.0,2.0,2.0,210.2,575.2,1879.2,3.2,3.6,2005.0,1.6431676725154933,139.44783971076805,456.260013588743,1.095445115010332,0.8944271909999154,0.0
108,Intel-Xeon-W-2295,2005.0,213.0,681.0,1600.0,4.0,4.0,211.0,576.4,1766.0,3.2,3.6,2005.0,1.8708286933869673,140.54287602009595,437.1269838387924,1.095445115010332,0.8944271909999154,0.0
