,Rolling singlescore Average,Rolling singlescore Standard Deviation,Rolling multiscore Average,Rolling multiscore Standard Deviation,Rolling clkspd Average,Rolling clkspd Standard Deviation,Rolling numcores Average,Rolling numcores Standard Deviation,Rolling numthreads Average,Rolling numthreads Standard Deviation,Rolling year Average,Rolling year Standard Deviation
62,-2.8271590573041463,-5.917014205545259,-4.50950173305639,-5.207206050942932,-1.5880847879635314,-0.4513431456333883,-4.624972813284272,-4.099319727648686,-3.970291913552122,-4.099319727648686,-2.9391619220656016,
63,-2.823434658213164,-5.917014205545259,-4.404005541392657,-6.190270211751558,-2.2812319685234765,-1.7589137881369494,-3.931825632724326,,-3.970291913552122,-4.099319727648686,-2.9391619220656016,
64,-2.8197240788166287,-6.1197467595993364,-4.442591535387847,-6.891043918745994,-1.834381644252458,-1.3740560090272185,-3.931825632724326,,-4.663439094112068,,-2.9391619220656016,
65,-2.814183898441013,-6.812893940159243,-4.394284930222035,-6.524166563759969,-1.834381644252458,-1.3740560090272185,-3.931825632724326,,-4.663439094112068,,-2.9391619220656016,
66,-2.812343971519006,-6.610161386105177,-4.388257184424518,-6.510668633015282,-1.8077133971702966,-1.452685651478424,-3.931825632724326,,-4.663439094112068,,-2.9391619220656016,
67,-2.8105074237117043,-6.610161386105177,-4.428728679479452,-6.231596266605281,-1.7817379107670361,-1.4408332722350508,-3.931825632724326,,-4.663439094112068,,-2.9391619220656016,
68,-2.8068444159529675,-6.354748574222193,-4.28662958899042,-5.446637967517967,-1.9589443668942204,-1.3060928500467779,-3.931825632724326,,-3.970291913552122,-4.099319727648686,-2.9391619220656016,
69,-2.799558409222034,-5.742860858411151,-4.09458348230447,-4.682163125769875,-1.9091828573351564,-1.1953719804857228,-3.526360524616161,-4.099319727648687,-3.747148362237912,-4.099319727648686,-2.9391619220656016,
70,-2.792325104628514,-5.411213749706021,-4.129226873776784,-4.623445422484622,-1.9287913287235325,-1.1933305616712515,-3.526360524616161,-4.099319727648687,-3.747148362237912,-4.099319727648686,-2.9391619220656016,
71,-2.7851437452198495,-5.411213749706021,-3.888793945683412,-4.216658498909431,-1.6202879284581662,-1.36738561192392,-3.0155349008501706,-3.40617254708874,-3.4106761256166993,-3.9877479519915804,-2.9391619220656016,
72,-2.77623896687689,-5.591720422474687,-3.8557923855550458,-4.295410606530681,-1.4718679233398928,-1.1931850426477784,-3.0155349008501706,-3.40617254708874,-3.4106761256166993,-3.9877479519915804,-2.9391619220656016,
73,-2.7691717996537974,-6.186512455911603,-3.92670260966531,-4.206791018255407,-1.503717749226992,-1.0971979510954477,-3.0155349008501706,-3.40617254708874,-3.747148362237912,-4.099319727648686,-2.9391619220656016,
74,-2.7621542269951505,-5.805442429888155,-3.84876000776889,-4.039927537369674,-1.6817765597869803,-1.257075361521977,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.9391619220656016,
75,-2.756923177577598,-5.714281651491177,-3.8231619307244697,-4.0831337668524075,-1.4921346081373612,-1.1956817874386447,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.9391619220656016,
76,-2.749990740801953,-5.714281651491177,-4.033748045688056,-4.289071206835194,-1.409290571687545,-1.0998092583696697,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.9391619220656016,
77,-2.744822770643511,-5.805442429888155,-4.069803453305983,-4.244703763249483,-1.568558365613176,-1.2010882460732943,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.9391619220656016,
78,-2.7396813711430923,-6.610161386105192,-4.05850389805205,-4.2562889852810875,-1.1067024801501368,-0.9526593251682386,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.9391619220656016,
79,-2.7362683985468523,-6.354748574222202,-4.357485525757764,-6.498220782655255,-1.1058325366415969,-0.9546161278157572,-3.931825632724326,,-4.663439094112068,,-2.9391619220656016,
80,-2.7328670347233612,-6.610161386105192,-4.061100178177681,-4.205911798152996,-1.1968043148473235,-0.8769159918242736,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.756840365271609,-0.20273255405405852
81,-2.7311706814751835,-6.610161386105192,-4.055914341145316,-4.209183658445256,-1.220901866426384,-0.8890979223032789,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.6026896854443238,0.0
